02/01/2023 10:06:17|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
02/01/2023 10:06:17|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
02/01/2023 10:06:17|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
02/01/2023 11:10:56|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
02/01/2023 11:11:00|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
02/01/2023 11:11:00|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
02/01/2023 11:11:00|WARNING |apscheduler.executors.default   |Run time of job "Update Series list from Sonarr (trigger: interval[1:00:00], next run at: 2023-01-02 10:55:10 GMT)" was missed by 0:15:50.009152|
02/01/2023 11:11:00|WARNING |apscheduler.executors.default   |Run time of job "Sync episodes with Sonarr (trigger: interval[1:00:00], next run at: 2023-01-02 11:55:52 GMT)" was missed by 0:15:08.010184|
02/01/2023 11:11:00|WARNING |apscheduler.executors.default   |Run time of job "Update Movie list from Radarr (trigger: interval[1:00:00], next run at: 2023-01-02 12:01:10 GMT)" was missed by 0:09:50.010852|
02/01/2023 11:48:28|ERROR   |root                            |Error trying to get releases from Github. Http error.|'Traceback (most recent call last):\n  File "/app/bazarr/bin/bazarr/app/check_update.py", line 23, in check_releases\n    r.raise_for_status()\n  File "/app/bazarr/bin/bazarr/../libs/requests/models.py", line 1021, in raise_for_status\n    raise HTTPError(http_error_msg, response=self)\nrequests.exceptions.HTTPError: 403 Client Error: rate limit exceeded for url: https://api.github.com/repos/morpheus65535/Bazarr/releases?per_page=100'|
02/01/2023 11:48:30|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
02/01/2023 11:48:30|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
02/01/2023 11:48:30|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
02/01/2023 11:48:31|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
02/01/2023 11:48:31|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
02/01/2023 14:26:40|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
02/01/2023 14:26:40|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
02/01/2023 14:26:40|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
02/01/2023 14:26:40|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
02/01/2023 14:26:40|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
02/01/2023 14:38:39|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
02/01/2023 14:38:39|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
02/01/2023 14:38:39|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
02/01/2023 14:38:39|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
02/01/2023 14:38:39|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
02/01/2023 16:32:02|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
02/01/2023 16:32:02|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
02/01/2023 16:32:02|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
02/01/2023 16:32:02|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
02/01/2023 16:32:02|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
02/01/2023 16:54:58|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
02/01/2023 16:54:58|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
02/01/2023 16:54:58|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
02/01/2023 16:54:58|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
02/01/2023 16:55:08|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
02/01/2023 17:01:14|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
02/01/2023 17:01:14|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
02/01/2023 17:01:14|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
02/01/2023 17:01:14|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
02/01/2023 17:01:14|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
